Date,Open,High,Low,Close,Adj Close,Volume,ticker
2024-02-05T00:00:00.000Z,723.0,725.9500122070312,717.0250244140625,722.4249877929688,691.7467651367188,38605046,HDFCBANK.NS
2024-02-06T00:00:00.000Z,722.7750244140625,724.8499755859375,716.2999877929688,722.0499877929688,691.3876953125,41075740,HDFCBANK.NS
2024-02-07T00:00:00.000Z,726.5,726.9000244140625,713.3250122070312,714.9749755859375,684.6131591796875,54837086,HDFCBANK.NS
2024-02-08T00:00:00.000Z,714.9249877929688,719.4749755859375,700.25,701.5250244140625,671.7343139648438,69106124,HDFCBANK.NS
2024-02-09T00:00:00.000Z,696.0750122070312,707.0999755859375,693.5,701.7999877929688,671.9976196289062,56642124,HDFCBANK.NS
2024-02-12T00:00:00.000Z,699.8250122070312,706.8250122070312,691.6749877929688,695.0,665.4864501953125,34447812,HDFCBANK.NS
2024-02-13T00:00:00.000Z,695.9749755859375,702.1749877929688,692.1749877929688,697.2249755859375,667.6168823242188,57580994,HDFCBANK.NS
2024-02-14T00:00:00.000Z,688.0,695.75,681.7750244140625,692.0250244140625,662.6378173828125,91320810,HDFCBANK.NS
2024-02-15T00:00:00.000Z,692.5,707.75,692.1749877929688,707.0250244140625,677.0007934570312,41584944,HDFCBANK.NS
2024-02-16T00:00:00.000Z,711.9500122070312,713.8499755859375,704.2249755859375,709.9500122070312,679.8015747070312,32175742,HDFCBANK.NS
2024-02-19T00:00:00.000Z,714.5,714.5,707.5999755859375,708.5499877929688,678.4610595703125,34451756,HDFCBANK.NS
2024-02-20T00:00:00.000Z,707.5,728.625,705.9000244140625,727.1500244140625,696.2711791992188,56133508,HDFCBANK.NS
2024-02-21T00:00:00.000Z,732.0,732.0,717.5,719.5750122070312,689.017822265625,45893136,HDFCBANK.NS
2024-02-22T00:00:00.000Z,708.875,714.4000244140625,706.0999755859375,709.7750244140625,679.634033203125,50560882,HDFCBANK.NS
2024-02-23T00:00:00.000Z,711.2750244140625,716.9500122070312,709.0,710.2999877929688,680.1366577148438,29833452,HDFCBANK.NS
2024-02-26T00:00:00.000Z,706.7750244140625,717.4249877929688,706.7750244140625,711.1500244140625,680.9505615234375,23506870,HDFCBANK.NS
2024-02-27T00:00:00.000Z,706.7750244140625,713.3499755859375,706.5250244140625,710.0750122070312,679.9212036132812,32087150,HDFCBANK.NS
2024-02-28T00:00:00.000Z,710.0750122070312,712.0999755859375,702.0,704.7000122070312,674.7745361328125,25321986,HDFCBANK.NS
2024-02-29T00:00:00.000Z,701.0499877929688,705.2000122070312,698.6500244140625,701.7000122070312,671.9019165039062,53295700,HDFCBANK.NS
2024-03-01T00:00:00.000Z,700.0,716.375,700.0,715.375,684.9961547851562,34738898,HDFCBANK.NS
2024-03-04T00:00:00.000Z,715.4749755859375,718.5,712.1500244140625,716.3499755859375,685.9296875,35616474,HDFCBANK.NS
2024-03-05T00:00:00.000Z,711.0,721.5,710.8250122070312,720.4249877929688,689.8316650390625,37991672,HDFCBANK.NS
2024-03-06T00:00:00.000Z,716.7750244140625,726.4249877929688,716.7750244140625,721.2999877929688,690.6695556640625,42409530,HDFCBANK.NS
2024-03-07T00:00:00.000Z,722.75,725.5250244140625,720.7000122070312,723.0499877929688,692.34521484375,49348046,HDFCBANK.NS
2024-03-11T00:00:00.000Z,715.0,722.9749755859375,711.5,713.9000244140625,683.5838012695312,50531094,HDFCBANK.NS
2024-03-12T00:00:00.000Z,717.0,732.0,714.625,729.7750244140625,698.7847290039062,65418454,HDFCBANK.NS
2024-03-13T00:00:00.000Z,732.75,735.7999877929688,725.0499877929688,730.2000122070312,699.1915893554688,63067454,HDFCBANK.NS
2024-03-14T00:00:00.000Z,731.0499877929688,733.0,722.1500244140625,727.7249755859375,696.8216552734375,52432158,HDFCBANK.NS
2024-03-15T00:00:00.000Z,725.0,729.6500244140625,721.125,726.3250122070312,695.4811401367188,143613804,HDFCBANK.NS
2024-03-18T00:00:00.000Z,723.5,728.0,717.9000244140625,723.0250244140625,692.3213500976562,21437856,HDFCBANK.NS
2024-03-19T00:00:00.000Z,717.75,726.2000122070312,717.75,724.6749877929688,693.9011840820312,36183594,HDFCBANK.NS
2024-03-20T00:00:00.000Z,724.5250244140625,725.8250122070312,712.3250122070312,715.5250244140625,685.1397705078125,43606094,HDFCBANK.NS
2024-03-21T00:00:00.000Z,721.2999877929688,725.625,719.1500244140625,722.875,692.1776123046875,28922860,HDFCBANK.NS
